source,target,weight
13794,15604,0.391304347826087
13794,9011,0.03333333333333333
13794,6063,0.03225806451612903
13794,7563,0.03225806451612903
13794,12476,0.06666666666666667
13794,14603,0.3333333333333333
13794,16569,0.23076923076923078
13794,15547,0.34782608695652173
13794,6342,0.06896551724137931
13794,10246,0.10714285714285714
13794,23612,0.03333333333333333
13794,13544,0.19230769230769232
13794,11999,0.14814814814814814
13794,18031,0.15384615384615385
13794,18313,0.15384615384615385
13794,17663,0.2
13794,10402,0.15384615384615385
13794,14546,0.25
13794,6630,0.07142857142857142
13794,21228,0.07142857142857142
13794,7001,0.034482758620689655
13794,10751,0.15384615384615385
13794,17566,0.16
13794,10727,0.03571428571428571
13794,18361,0.03571428571428571
13794,15748,0.2608695652173913
13794,19729,0.07407407407407407
13794,14192,0.3181818181818182
13794,13776,0.3181818181818182
13794,17984,0.20833333333333334
13794,17228,0.20833333333333334
13794,17643,0.2608695652173913
13794,8370,0.07692307692307693
13794,16913,0.12
13794,11445,0.12
13794,53292,0.07692307692307693
13794,21217,0.12
13794,12455,0.12
13794,19171,0.07692307692307693
13794,16377,0.07692307692307693
13794,23576,0.037037037037037035
13794,19526,0.16666666666666666
13794,10288,0.037037037037037035
13794,9771,0.037037037037037035
13794,51480,0.037037037037037035
13794,17242,0.125
13794,5461,0.038461538461538464
13794,14222,0.038461538461538464
13794,47800,0.038461538461538464
13794,21733,0.08
13794,20406,0.17391304347826086
13794,51762,0.038461538461538464
13794,50133,0.04
13794,9804,0.04
13794,18857,0.04
13794,20967,0.08333333333333333
13794,12466,0.04
13794,52036,0.04
13794,14285,0.04
13794,13407,0.18181818181818182
13794,21676,0.04
13794,5645,0.04
13794,13360,0.04
11691,10140,0.23529411764705882
11691,11692,0.36666666666666664
11691,12946,0.24242424242424243
11691,11945,0.3448275862068966
11691,11854,0.16129032258064516
11691,10509,0.2857142857142857
11691,10610,0.3333333333333333
11691,11868,0.3333333333333333
11691,11285,0.2
11691,12471,0.125
11691,11408,0.2413793103448276
11691,13991,0.20689655172413793
11691,12381,0.25
11691,5885,0.13333333333333333
11691,10944,0.3076923076923077
11691,9246,0.13333333333333333
11691,13034,0.25925925925925924
11691,9731,0.2692307692307692
11691,10111,0.13793103448275862
11691,10249,0.13793103448275862
11691,14248,0.1
11691,8484,0.2222222222222222
11691,15604,0.06666666666666667
11691,9011,0.03333333333333333
11691,6063,0.18518518518518517
11691,7563,0.14285714285714285
11691,12476,0.23076923076923078
11691,14603,0.10344827586206896
11691,16569,0.10344827586206896
11691,15547,0.06896551724137931
11691,6342,0.14814814814814814
11691,10246,0.10714285714285714
11691,3662,0.10714285714285714
11691,13544,0.10714285714285714
11691,11999,0.06896551724137931
11691,18031,0.034482758620689655
11691,17663,0.07142857142857142
11691,10402,0.15384615384615385
11691,14546,0.15384615384615385
11691,11599,0.15384615384615385
11691,6630,0.2
11691,21228,0.034482758620689655
11691,7001,0.1111111111111111
11691,10751,0.25
11691,17566,0.03571428571428571
11691,10727,0.11538461538461539
11691,15748,0.03571428571428571
11691,14192,0.03571428571428571
11691,13776,0.16
11691,17984,0.03571428571428571
11691,17228,0.03571428571428571
11691,17643,0.03571428571428571
11691,8370,0.07692307692307693
11691,16913,0.037037037037037035
11691,11445,0.16666666666666666
11691,12455,0.12
11691,16377,0.037037037037037035
11691,9722,0.12
11691,2900,0.037037037037037035
11691,5379,0.07692307692307693
11691,10288,0.16666666666666666
11691,9771,0.07692307692307693
11691,8167,0.08
11691,42810,0.038461538461538464
11691,8669,0.125
11691,17242,0.038461538461538464
11691,5461,0.038461538461538464
11691,11239,0.08
11691,3739,0.038461538461538464
11691,14222,0.08
11691,8612,0.08
11691,8440,0.08
